station_code,name,latitude,longitude,altitude,region,state,founded
A517,MURIAE,-21.105,-42.37583332,282.79,SE,MG,30/08/06
A518,JUIZ DE FORA,-21.76999999,-43.36444444,936.88,SE,MG,26/05/07
A519,CAMPINA VERDE,-19.53916666,-49.51805554,559.07,SE,MG,15/07/06
A520,CONCEICAO DAS ALAGOAS,-19.98583333,-48.15166666,572.54,SE,MG,18/07/06
A521,BELO HORIZONTE - PAMPULHA,-19.88388888,-43.96944443,854.02,SE,MG,10/10/06
A522,SERRA DOS AIMORES,-17.79888888,-40.25,211.97,SE,MG,21/08/06
A523,PATROCINIO,-18.99666666,-46.98583333,978.11,SE,MG,22/08/06
A524,FORMIGA,-20.455,-45.45388888,878.14,SE,MG,17/08/06
A525,SACRAMENTO,-19.87527777,-47.43416666,913.12,SE,MG,19/08/06
A526,MONTALVANIA,-14.40833333,-44.40416666,519.52,SE,MG,26/06/07
A527,TEOFILO OTONI,-17.89277777,-41.51555555,467.17,SE,MG,25/08/06
A528,TRES MARIAS,-18.20083333,-45.45972222,931.01,SE,MG,25/08/06
A529,PASSA QUATRO,-22.39583333,-44.96194444,1017.1,SE,MG,30/05/07
A530,CALDAS,-21.91805554,-46.38305554,1077.34,SE,MG,28/11/06
A531,MARIA DA FE,-22.31444444,-45.37305554,1281.43,SE,MG,01/12/06
A532,GOVERNADOR VALADARES,-18.83027777,-41.97694443,198.24,SE,MG,27/05/07
A533,GUANHAES,-18.78694444,-42.94305555,852.68,SE,MG,02/06/07
A534,AIMORES,-19.53277777,-41.09083333,301.0,SE,MG,05/08/07
A535,FLORESTAL,-19.88527777,-44.41694443,753.5,SE,MG,27/06/08
A536,DORES DO INDAIA,-19.48194443,-45.59388888,721.09,SE,MG,01/06/07
A537,DIAMANTINA,-18.231052,-43.648269,1359.25,SE,MG,05/06/07
A538,CURVELO,-18.74777777,-44.45388888,669.48,SE,MG,18/12/06
A539,MOCAMBINHO,-15.08583333,-44.01611111,454.0,SE,MG,11/11/07
A540,MANTENA,-18.78055554,-40.98638888,254.91,SE,MG,01/08/07
A541,CAPELINHA,-17.70555555,-42.38916666,932.06,SE,MG,31/08/07
A542,UNAI,-16.55416666,-46.88194443,640.85,SE,MG,16/06/07
A543,ESPINOSA,-14.91222222,-42.80861111,565.36,SE,MG,14/11/07
A544,BURITIS,-15.52416666,-46.43555555,894.0,SE,MG,19/06/07
A545,PIRAPORA,-17.258064,-44.835556,505.32,SE,MG,04/07/07
A546,GUARDA-MOR,-17.56138888,-47.19916666,997.01,SE,MG,11/07/07
A547,SAO ROMAO,-16.36277777,-45.12388888,490.29,SE,MG,30/06/07
A548,CHAPADA GAUCHA,-15.30027777,-45.61749999,873.2,SE,MG,22/06/07
A549,AGUAS VERMELHAS,-15.75166666,-41.45777777,754.07,SE,MG,09/09/07
A550,ITAOBIM,-16.57555554,-41.48555555,271.63,SE,MG,05/09/07
A551,RIO PARDO DE MINAS,-15.72305554,-42.43583333,850.06,SE,MG,17/11/07
A552,SALINAS,-16.16027777,-42.31027777,487.14,SE,MG,14/09/07
A553,JOAO PINHEIRO,-17.78444444,-46.11944443,877.05,SE,MG,07/07/07
A554,CARATINGA,-19.73583333,-42.13722221,609.25,SE,MG,24/05/07
A555,IBIRITE (ROLA MOCA),-20.03138888,-44.01111111,1198.82,SE,MG,06/06/08
A556,MANHUACU,-20.26333333,-42.18277777,819.47,SE,MG,25/09/10
A557,CORONEL PACHECO,-21.54666666,-43.26111111,411.14,SE,MG,17/10/12
A559,JANUARIA,-15.44805555,-44.36638888,468.0,SE,MG,23/06/16
A560,POMPEU,-19.23249999,-44.96416666,705.0,SE,MG,21/08/15
A561,SAO SEBASTIAO DO PARAISO,-20.91,-47.11416666,845.0,SE,MG,17/08/15
A562,PATOS DE MINAS,-18.52055554,-46.44055555,950.0,SE,MG,12/05/17
A563,NOVA PORTEIRINHA (JANAUBA),-15.80277777,-43.29694444,532.0,SE,MG,19/11/16
A564,DIVINOPOLIS,-20.17333332,-44.87499999,796.0,SE,MG,26/10/17
A565,BAMBUI,-20.0311111,-46.00888888,697.0,SE,MG,23/11/16
A566,ARACUAI,-16.84888888,-42.03527777,308.0,SE,MG,19/05/17
A567,MACHADO,-21.68083332,-45.94444444,969.0,SE,MG,21/07/17
A568,UBERABA,-19.71,-47.96194444,778.0,SE,MG,19/05/17
A569,SETE LAGOAS,-19.45527777,-44.17333332,719.0,SE,MG,10/06/16
A570,OLIVEIRA,-20.715,-44.86444444,1025.0,SE,MG,19/10/17
A571,PARACATU,-17.24444444,-46.88166666,705.0,SE,MG,16/03/18
A572,BELO HORIZONTE - SANTO AGOSTINHO,-19.93388888,-43.95222222,915.47,SE,MG,28/08/25
A601,SEROPEDICA-ECOLOGIA AGRICOLA,-22.75777777,-43.68472221,35.0,SE,RJ,24/05/00
A602,RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555,12.0,SE,RJ,08/11/02
A603,DUQUE DE CAXIAS - XEREM,-22.58972221,-43.28222221,22.0,SE,RJ,21/10/02
A604,CAMBUCI,-21.58749999,-41.95833333,46.0,SE,RJ,20/11/02
A606,ARRAIAL DO CABO,-22.97527777,-42.02138888,5.0,SE,RJ,22/09/06
A607,CAMPOS DOS GOYTACAZES,-21.71472222,-41.34388888,17.0,SE,RJ,25/09/06
A608,MACAE,-22.3761111,-41.81194444,28.0,SE,RJ,22/09/06
A609,RESENDE,-22.45138888,-44.44499999,438.83,SE,RJ,29/09/06
A610,PICO DO COUTO,-22.46472222,-43.29138888,1777.0,SE,RJ,22/10/06
A611,VALENCA,-22.35805555,-43.69555555,370.0,SE,RJ,27/09/06
A612,VITORIA,-20.27083332,-40.30583333,9.0,SE,ES,31/10/06
A613,SANTA TERESA,-19.98833333,-40.57944443,975.92,SE,ES,09/08/07
A614,LINHARES,-19.35694444,-40.0686111,40.0,SE,ES,27/10/06
A616,SAO MATEUS,-18.6761111,-39.86416666,28.66,SE,ES,25/10/06
A617,ALEGRE,-20.75055555,-41.48888888,138.0,SE,ES,25/10/06
A618,TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444,981.0,SE,RJ,01/11/06
A619,PARATY,-23.2236111,-44.72694443,3.0,SE,RJ,19/11/06
A620,CAMPOS DOS GOYTACAZES - SAO TOME,-22.04166666,-41.05166666,7.0,SE,RJ,13/06/08
A621,RIO DE JANEIRO - VILA MILITAR,-22.86138888,-43.41138888,30.43,SE,RJ,13/04/07
A622,PRESIDENTE KENNEDY,-21.10083333,-41.03944444,69.12,SE,ES,18/06/08
A624,NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443,1070.0,SE,RJ,18/09/10
A625,TRES RIOS,-22.09833333,-43.20833333,295.0,SE,RJ,08/06/16
A626,RIO CLARO,-22.653579,-44.040916,516.0,SE,RJ,03/06/16
A627,NITEROI,-22.86749999,-43.10194444,6.0,SE,RJ,13/07/18
A628,ANGRA DOS REIS,-22.97555554,-44.30333333,6.0,SE,RJ,25/08/17
A629,CARMO,-21.9386111,-42.60083333,293.0,SE,RJ,11/10/18
A630,SANTA MARIA MADALENA,-21.95055555,-42.01027777,586.0,SE,RJ,16/10/18
A631,ECOPORANGA,-18.29138888,-40.73638888,224.0,SE,ES,17/03/17
A632,MARILANDIA,-19.40722222,-40.53972221,95.0,SE,ES,22/03/17
A633,VENDA NOVA DO IMIGRANTE,-20.38555555,-41.18999999,722.0,SE,ES,10/02/17
A634,VILA VELHA,-20.46694443,-40.40388888,25.0,SE,ES,15/02/17
A636,RIO DE JANEIRO - JACAREPAGUA,-22.93999999,-43.40277777,20.0,SE,RJ,10/08/17
A637,Paty do Alferes - Avelar,-22.34722221,-43.41777777,508.0,SE,RJ,10/11/22
A652,RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555,25.59,SE,RJ,18/05/07
A657,AFONSO CLAUDIO,-20.10416666,-41.10694444,507.48,SE,ES,24/09/11
A659,SILVA JARDIM,-22.64583333,-42.41555555,19.0,SE,RJ,28/08/15
A667,SAQUAREMA - SAMPAIO CORREIA,-22.8711111,-42.60888888,26.0,SE,RJ,02/09/15
A701,SAO PAULO - MIRANTE,-23.4962888,-46.6200666,785.64,SE,SP,25/07/06
A702,CAMPO GRANDE,-20.44722221,-54.72249999,528.47,CO,MS,10/09/01
A703,PONTA PORA,-22.5525,-55.71638888,668.0,CO,MS,07/09/01
A704,TRES LAGOAS,-20.79499999,-51.71333333,328.94,CO,MS,03/09/01
A705,BAURU,-22.35805555,-49.02888888,636.17,SE,SP,30/08/01
A706,CAMPOS DO JORDAO,-22.75027777,-45.60388888,1662.95,SE,SP,13/03/02
A707,PRESIDENTE PRUDENTE,-22.11999999,-51.40861111,431.92,SE,SP,04/02/03
A708,FRANCA,-20.58444444,-47.38249999,1002.74,SE,SP,12/12/02
A709,IVINHEMA,-22.30055555,-53.82277777,377.36,CO,MS,08/02/03
A710,PARANAIBA,-19.69555555,-51.18166666,408.06,CO,MS,10/11/06
A711,SAO CARLOS,-21.98027777,-47.88388888,859.29,SE,SP,04/09/06
A712,IGUAPE,-24.67166666,-47.54583333,2.7,SE,SP,20/07/06
A713,IPERO,-23.4261111,-47.58555555,609.33,SE,SP,22/08/06
A714,ITAPEVA,-23.98194443,-48.88583333,743.33,SE,SP,25/07/06
A715,SAO MIGUEL ARCANJO,-23.89083333,-47.99916666,710.0,SE,SP,15/08/06
A716,OURINHOS,-23.00055555,-49.84333333,500.0,SE,SP,29/08/06
A717,NHUMIRIM,-18.9886111,-56.62277777,102.26,CO,MS,02/08/06
A718,RANCHARIA,-22.37277777,-50.97472221,398.75,SE,SP,01/09/06
A719,AQUIDAUANA,-20.47555554,-55.78388888,151.35,CO,MS,01/11/06
A720,COXIM,-18.51222222,-54.7361111,251.48,CO,MS,06/11/06
A721,DOURADOS,-22.19388888,-54.91138888,463.3,CO,MS,18/10/06
A722,MIRANDA,-20.39555555,-56.43166666,132.49,CO,MS,02/11/06
A723,PORTO MURTINHO,-21.70583333,-57.88666666,78.56,CO,MS,24/10/06
A724,CORUMBA,-18.99666666,-57.63749999,111.73,CO,MS,26/10/06
A725,AVARE,-23.10166666,-48.9411111,776.36,SE,SP,22/09/06
A726,PIRACICABA,-22.70305555,-47.62333332,566.46,SE,SP,26/09/06
A727,LINS,-21.66611111,-49.73472221,460.65,SE,SP,20/09/06
A728,TAUBATE,-23.04166666,-45.52083332,582.26,SE,SP,20/12/06
A730,CHAPADAO DO SUL,-18.80222222,-52.6025,820.82,CO,MS,20/12/06
A731,MARACAJU,-21.60916666,-55.17749999,388.94,CO,MS,15/12/06
A732,SAO GABRIEL DO OESTE,-19.42027777,-54.55305555,646.0,CO,MS,18/12/06
A733,JALES,-20.165,-50.59499999,460.44,SE,SP,22/08/07
A734,VALPARAISO,-21.31916666,-50.93027777,381.9,SE,SP,30/08/07
A735,JOSE BONIFACIO,-21.08555555,-49.92027777,408.35,SE,SP,03/09/07
A736,ARIRANHA,-21.13305554,-48.84055555,525.44,SE,SP,13/11/07
A737,IBITINGA,-21.85555555,-48.79972221,496.75,SE,SP,09/11/07
A738,CASA BRANCA,-21.78055554,-47.07527777,734.15,SE,SP,25/06/07
A739,ITAPIRA,-22.415,-46.80527777,634.89,SE,SP,05/11/07
A740,SAO LUIZ DO PARAITINGA,-23.22833332,-45.41694443,874.0,SE,SP,01/11/07
A741,BARRA BONITA,-22.4711111,-48.5575,533.68,SE,SP,24/04/08
A742,CASSILANDIA,-19.12249999,-51.72083332,494.72,CO,MS,08/03/08
A743,RIO BRILHANTE,-21.77499999,-54.52805554,324.31,CO,MS,26/06/08
A744,BRAGANCA PAULISTA,-22.94916666,-46.5261111,891.0,SE,SP,20/12/17
A746,BARRA DO TURVO,-24.96277777,-48.41638888,659.89,SE,SP,03/07/08
A747,PRADOPOLIS,-21.33833333,-48.11388888,544.0,SE,SP,22/04/08
A748,BARRETOS,-20.55916666,-48.54499999,534.36,SE,SP,19/06/10
A749,JUTI,-22.85722222,-54.60555555,375.18,CO,MS,16/06/08
A750,AMAMBAI,-23.0025,-55.32944443,433.59,CO,MS,11/06/08
A751,SETE QUEDAS,-23.96694443,-55.02416666,398.4,CO,MS,03/06/08
A752,ITAQUIRAI,-23.44944444,-54.18194443,337.82,CO,MS,28/05/08
A753,ITUVERAVA,-20.35972222,-47.77527777,610.58,SE,SP,17/07/08
A754,SIDROLANDIA,-20.98166666,-54.97194443,471.43,CO,MS,29/09/08
A755,BARUERI,-23.52388888,-46.86944443,776.5,SE,SP,29/03/11
A756,AGUA CLARA,-20.44444444,-52.87583332,323.63,CO,MS,14/08/10
A758,JARDIM,-21.4786111,-56.13777777,252.47,CO,MS,04/08/11
A759,BATAGUASSU,-21.75,-52.47138888,392.13,CO,MS,21/03/13
A760,COSTA RICA,-18.49277777,-53.17138888,727.34,CO,MS,04/12/12
A761,SONORA,-17.63527777,-54.76055555,495.25,CO,MS,30/11/12
A762,DRACENA,-21.45777777,-51.55222222,383.0,SE,SP,03/11/16
A763,MARILIA,-22.23527777,-49.965,660.0,SE,SP,15/05/17
A764,BEBEDOURO,-20.94805555,-48.47138888,542.0,SE,SP,27/10/16
A765,BERTIOGA,-23.84472221,-46.14333333,5.0,SE,SP,01/02/17
A766,REGISTRO,-24.53305554,-47.86416666,35.0,SE,SP,09/02/17
A768,TUPA,-21.92722221,-50.49027777,498.0,SE,SP,12/05/17
A769,CACHOEIRA PAULISTA,-22.68888888,-45.00555555,586.0,SE,SP,20/10/17
A770,SAO SIMAO,-21.46111111,-47.57944443,620.0,SE,SP,03/07/19
A771,SAO PAULO - INTERLAGOS,-23.72444443,-46.67749999,771.0,SE,SP,14/03/18
A801,PORTO ALEGRE - JARDIM BOTANICO,-30.05361111,-51.17472221,41.18,S,RS,22/09/00
A802,RIO GRANDE,-32.07888888,-52.16777777,4.92,S,RS,16/11/01
A803,SANTA MARIA,-29.72499999,-53.72055554,103.1,S,RS,26/11/01
A804,SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888,196.0,S,RS,22/11/01
A805,SANTO AUGUSTO,-27.85444444,-53.7911111,489.67,S,RS,05/12/01
A806,FLORIANOPOLIS,-27.6025,-48.61999999,4.87,S,SC,22/01/03
A807,CURITIBA,-25.4486111,-49.23055554,922.91,S,PR,28/01/03
A809,URUGUAIANA,-29.83999999,-57.08194443,74.29,S,RS,28/09/06
A810,SANTA ROSA,-27.89055555,-54.47999999,272.84,S,RS,15/11/06
A811,CANGUCU,-31.40333333,-52.70083333,446.81,S,RS,24/01/07
A812,CACAPAVA DO SUL,-30.54527777,-53.46694443,420.82,S,RS,22/06/06
A813,RIO PARDO,-29.87222221,-52.38194443,106.99,S,RS,30/09/06
A814,URUSSANGA,-28.53249999,-49.31527777,40.56,S,SC,29/05/08
A815,SAO JOAQUIM,-28.27555554,-49.93472221,1400.06,S,SC,12/04/08
A816,NOVO HORIZONTE,-26.40638888,-52.85027777,943.57,S,SC,20/09/08
A817,INDAIAL,-26.91361111,-49.26805554,72.24,S,SC,02/07/06
A818,IVAI,-25.01083333,-50.85388888,803.58,S,PR,11/07/06
A819,CASTRO,-24.77999999,-50.04638888,1016.0,S,PR,09/07/06
A820,MAL. CANDIDO RONDON,-24.53333333,-54.01916666,392.07,S,PR,18/11/06
A821,JOAQUIM TAVORA,-23.50527777,-49.94638888,512.67,S,PR,23/11/06
A822,NOVA TEBAS,-24.43388888,-51.95388888,660.0,S,PR,21/12/06
A823,INACIO MARTINS,-25.56777777,-51.07805554,1208.85,S,PR,16/10/06
A824,ICARAIMA,-23.39027777,-53.63583333,381.29,S,PR,16/11/06
A825,GOIOERE,-24.18388888,-53.04888888,481.0,S,PR,19/10/06
A826,ALEGRETE,-29.70916666,-55.52555554,120.88,S,RS,28/09/06
A827,BAGE,-31.34777777,-54.01333333,226.19,S,RS,04/01/07
A828,ERECHIM,-27.65777777,-52.30583333,777.08,S,RS,25/11/06
A829,SAO JOSE DOS AUSENTES,-28.7486111,-50.05777777,1228.59,S,RS,26/10/06
A830,SAO BORJA,-28.65,-56.01638888,81.08,S,RS,21/07/07
A831,QUARAI,-30.3686111,-56.43722221,113.05,S,RS,17/10/07
A832,SAO GABRIEL,-30.34138888,-54.31083333,114.89,S,RS,11/07/07
A833,SANTIAGO,-29.19166666,-54.88555555,390.03,S,RS,04/02/09
A834,TRAMANDAI,-30.01027777,-50.13583333,4.56,S,RS,09/03/08
A835,MARINGA,-23.40527777,-51.93277777,548.51,S,PR,21/11/06
A836,JAGUARAO,-32.53472221,-53.37583332,31.48,S,RS,09/01/07
A837,SOLEDADE,-28.85916666,-52.54249999,660.44,S,RS,01/03/08
A838,CAMAQUA,-30.80805555,-51.83416666,92.3,S,RS,12/12/06
A839,PASSO FUNDO,-28.22666666,-52.40361111,680.67,S,RS,27/11/06
A840,BENTO GONCALVES,-29.16444444,-51.53416666,623.27,S,RS,01/12/06
A841,JOACABA,-27.16916666,-51.55888888,767.63,S,SC,20/09/07
A842,NOVA FATIMA,-23.41527777,-50.57777777,664.31,S,PR,08/02/07
A843,DOIS VIZINHOS,-25.69916666,-53.09527777,545.95,S,PR,29/03/07
A844,LAGOA VERMELHA,-28.22249999,-51.51277777,833.83,S,RS,02/03/07
A845,BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.12694443,-49.47972221,1790.38,S,SC,17/06/07
A846,FOZ DO IGUACU,-25.60194444,-54.48305554,235.09,S,PR,15/02/08
A848,DIONISIO CERQUEIRA,-26.286562,-53.633114,807.54,S,SC,31/05/08
A849,DIAMANTE DO NORTE,-22.63944444,-52.89027777,368.22,S,PR,06/03/08
A850,PARANAPOEMA,-22.65833333,-52.13444444,308.7,S,PR,04/03/08
A851,ITAPOA,-26.08138888,-48.64166666,6.18,S,SC,06/06/07
A852,SAO LUIZ GONZAGA,-28.41722221,-54.9625,245.5,S,RS,25/07/07
A853,CRUZ ALTA,-28.60333333,-53.6736111,426.69,S,RS,31/05/07
A854,FREDERICO WESTPHALEN,-27.39555555,-53.42944443,489.42,S,RS,14/12/07
A855,PLANALTO,-25.72194443,-53.74805555,399.1,S,PR,07/11/07
A856,PALMEIRA DAS MISSOES,-27.92027777,-53.31805554,614.11,S,RS,26/02/08
A857,SAO MIGUEL DO OESTE,-26.78638888,-53.51416666,647.0,S,SC,12/03/08
A858,XANXERE,-26.9386111,-52.39805555,878.74,S,SC,15/03/08
A859,CACADOR,-26.81916666,-50.98555555,944.26,S,SC,19/03/08
A860,CURITIBANOS,-27.2886111,-50.60416666,978.1,S,SC,28/02/08
A861,RIO DO CAMPO,-26.93749999,-50.14555555,591.67,S,SC,10/03/08
A862,RIO NEGRINHO,-26.2486111,-49.57416666,856.0,S,SC,22/03/08
A863,ITUPORANGA,-27.41833332,-49.64694444,479.79,S,SC,04/03/08
A864,MAJOR VIEIRA,-26.3936111,-50.36333333,799.58,S,SC,09/02/09
A865,LAGES,-27.80222222,-50.33555555,952.7,S,SC,06/11/14
A866,Laguna  - Farol de Santa Marta,-28.60444444,-48.81333333,34.36,S,SC,01/06/08
A867,ARARANGUA,-28.931353,-49.49792,2.0,S,SC,28/09/08
A868,ITAJAI,-26.95083333,-48.76194444,9.76,S,SC,24/06/10
A869,CIDADE GAUCHA,-23.35916666,-52.93194443,365.79,S,PR,11/03/08
A870,RANCHO QUEIMADO,-27.6786111,-49.04194444,881.0,S,SC,31/05/16
A871,JAPIRA,-23.77333332,-50.18055554,692.88,S,PR,29/02/08
A872,VENTANIA,-24.28027777,-50.21027777,1093.41,S,PR,15/04/11
A873,MORRETES,-25.50888888,-48.80861111,50.31,S,PR,13/03/08
A874,SAO MATEUS DO SUL,-25.83555555,-50.36888888,780.21,S,PR,17/04/11
A875,GENERAL CARNEIRO,-26.3986111,-51.35361111,1009.01,S,PR,30/04/08
A876,CLEVELANDIA,-26.41722221,-52.3486111,966.06,S,PR,15/05/08
A878,MOSTARDAS,-31.24833333,-50.90638888,3.82,S,RS,11/03/08
A879,CANELA,-29.36888888,-50.82722221,830.93,S,RS,23/08/08
A880,VACARIA,-28.51361111,-50.88277777,969.89,S,RS,26/04/08
A881,DOM PEDRITO,-31.0025,-54.61805554,150.0,S,RS,23/04/10
A882,TEUTONIA,-29.44916666,-51.82333332,81.0,S,RS,04/10/12
A883,IBIRUBA,-28.65333333,-53.11194444,455.27,S,RS,13/12/12
A884,CAMPO BOM,-29.67416666,-51.06416666,23.35,S,RS,29/11/13
A886,TUPANCIRETA,-29.08944444,-53.82666666,462.0,S,RS,11/08/16
A887,CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222,13.0,S,RS,18/07/19
A889,SAO VICENTE DO SUL,-29.70222222,-54.69444444,134.0,S,RS,06/04/16
A893,ENCRUZILHADA DO SUL,-30.54305555,-52.52472221,427.75,S,RS,15/03/18
A894,SERAFINA CORREA,-28.70472222,-51.87083332,485.29,S,RS,01/04/16
A895,CHAPECO,-27.0853111,-52.6357111,679.0,S,SC,19/02/19
A897,CAMBARA DO SUL,-29.04916666,-50.14972221,1017.0,S,RS,24/11/16
A898,CAMPOS NOVOS,-27.3886111,-51.21583333,963.0,S,SC,15/02/19
A899,Santa Vitoria do Palmar - Barra do Chui,-33.74222221,-53.37222221,7.41,S,RS,08/03/08
A901,CUIABA,-15.60694444,-56.06083333,184.0,CO,MT,08/12/02
